param-n abstract+autorewrite-regression-quadratic-real abstract+autorewrite-regression-quadratic-sys abstract+autorewrite-regression-quadratic-user abstract+rewrite!-regression-quadratic-real abstract+rewrite!-regression-quadratic-sys abstract+rewrite!-regression-quadratic-user autorewrite-noop-regression-linear-real autorewrite-noop-regression-linear-sys autorewrite-noop-regression-linear-user autorewrite-regression-quadratic-real autorewrite-regression-quadratic-sys autorewrite-regression-quadratic-user close-abstract+autorewrite-regression-quadratic-real close-abstract+autorewrite-regression-quadratic-sys close-abstract+autorewrite-regression-quadratic-user close-abstract+rewrite!-regression-quadratic-real close-abstract+rewrite!-regression-quadratic-sys close-abstract+rewrite!-regression-quadratic-user rewrite!-regression-quadratic-real rewrite!-regression-quadratic-sys rewrite!-regression-quadratic-user rewrite?-noop-regression-linear-real rewrite?-noop-regression-linear-sys rewrite?-noop-regression-linear-user
88 0.177 0. 0.177 0.176 0. 0.176 0.001 0. 0.001 0.104 0. 0.104 0.071 0. 0.07 0.071 0. 0.071 0.101 0. 0.101 0.001 0. 0.001
89 0.168 0. 0.168 0.174 0. 0.174 0.001 0. 0.001 0.098 0. 0.098 0.067 0. 0.067 0.071 0. 0.071 0.1 0. 0.1 0.001 0. 0.001
90 0.17 0. 0.17 0.178 0.003 0.174 0.001 0. 0.001 0.093 0. 0.093 0.075 0. 0.075 0.075 0.003 0.071 0.1 0. 0.1 0.001 0. 0.001
91 0.177 0. 0.177 0.191 0. 0.191 0.001 0. 0.001 0.104 0. 0.104 0.07 0. 0.07 0.076 0. 0.076 0.112 0. 0.112 0.001 0. 0.001
92 0.185 0. 0.185 0.198 0. 0.197 0.001 0. 0.001 0.103 0. 0.103 0.079 0. 0.079 0.09 0. 0.09 0.105 0. 0.105 0.001 0. 0.001
93 0.2 0. 0.2 0.209 0. 0.209 0.001 0. 0.001 0.117 0. 0.117 0.08 0. 0.08 0.085 0. 0.085 0.121 0. 0.121 0.001 0. 0.001
94 0.206 0. 0.206 0.196 0. 0.196 0.001 0. 0.001 0.113 0. 0.113 0.089 0. 0.089 0.079 0. 0.079 0.114 0. 0.114 0.001 0. 0.001
95 0.207 0. 0.207 0.197 0. 0.197 0.001 0. 0.001 0.114 0. 0.114 0.09 0. 0.09 0.082 0. 0.081 0.113 0. 0.113 0.001 0. 0.001
96 0.201 0. 0.2 0.207 0. 0.207 0.001 0. 0.001 0.113 0. 0.113 0.084 0. 0.084 0.085 0. 0.085 0.119 0. 0.119 0.001 0. 0.001
97 0.203 0. 0.203 0.201 0. 0.201 0.001 0. 0.001 0.118 0. 0.118 0.081 0. 0.081 0.086 0. 0.086 0.112 0. 0.112 0.001 0. 0.001
98 0.193 0.002 0.19 0.226 0. 0.226 0.001 0. 0.001 0.11 0.001 0.109 0.079 0. 0.079 0.095 0. 0.095 0.128 0. 0.128 0.001 0. 0.001
99 0.218 0. 0.218 0.222 0. 0.222 0.002 0. 0.002 0.122 0. 0.122 0.091 0. 0.091 0.089 0. 0.089 0.129 0. 0.129 0.002 0. 0.002
100 0.244 0.003 0.24 0.224 0.004 0.22 0.001 0. 0.001 0.136 0.003 0.133 0.105 0. 0.105 0.103 0.003 0.099 0.119 0. 0.119 0.001 0. 0.001
110 0.26 0. 0.26 0.265 0. 0.265 0.001 0. 0.001 0.154 0. 0.154 0.103 0. 0.103 0.12 0. 0.12 0.142 0. 0.135 0.001 0. 0.009
