param-n abstract+rewrite-strat-bottomup-real abstract+rewrite-strat-bottomup-sys abstract+rewrite-strat-bottomup-user abstract+rewrite-strat-topdown-real abstract+rewrite-strat-topdown-sys abstract+rewrite-strat-topdown-user close-abstract+rewrite-strat-bottomup-real close-abstract+rewrite-strat-bottomup-sys close-abstract+rewrite-strat-bottomup-user close-abstract+rewrite-strat-topdown-real close-abstract+rewrite-strat-topdown-sys close-abstract+rewrite-strat-topdown-user rewrite-strat-bottomup-real rewrite-strat-bottomup-sys rewrite-strat-bottomup-user rewrite-strat-bottomup-noop-real rewrite-strat-bottomup-noop-sys rewrite-strat-bottomup-noop-user rewrite-strat-topdown-real rewrite-strat-topdown-sys rewrite-strat-topdown-user rewrite-strat-topdown-noop-real rewrite-strat-topdown-noop-sys rewrite-strat-topdown-noop-user
89 0.261 0. 0.261 0.134 0. 0.134 0.093 0. 0.093 0.056 0. 0.056 0.166 0. 0.166 0.001 0. 0.001 0.075 0. 0.075 0.001 0. 0.001
90 0.256 0.003 0.252 0.138 0.003 0.134 0.086 0. 0.086 0.056 0. 0.056 0.159 0.003 0.155 0.009 0. 0.009 0.079 0.003 0.075 0.001 0. 0.001
91 0.265 0.004 0.261 0.142 0. 0.142 0.084 0. 0.084 0.059 0. 0.059 0.178 0.003 0.174 0.001 0. 0.001 0.081 0. 0.081 0.001 0. 0.001
92 0.247 0. 0.247 0.147 0. 0.147 0.083 0. 0.083 0.06 0. 0.06 0.162 0. 0.162 0.001 0. 0.001 0.085 0. 0.085 0.001 0. 0.001
93 0.244 0. 0.244 0.147 0. 0.147 0.084 0. 0.084 0.061 0. 0.061 0.158 0. 0.158 0.001 0. 0.001 0.083 0. 0.083 0.001 0. 0.001
94 0.255 0.004 0.251 0.148 0.003 0.145 0.085 0. 0.085 0.063 0.003 0.06 0.167 0.003 0.163 0.001 0. 0.001 0.082 0. 0.082 0.001 0. 0.001
95 0.258 0. 0.258 0.154 0. 0.154 0.089 0. 0.089 0.063 0. 0.063 0.167 0. 0.167 0.001 0. 0.001 0.088 0. 0.088 0.001 0. 0.001
96 0.272 0.003 0.268 0.158 0. 0.158 0.095 0.003 0.091 0.065 0. 0.065 0.174 0. 0.174 0.001 0. 0.001 0.09 0. 0.09 0.001 0. 0.001
97 0.277 0. 0.277 0.16 0. 0.16 0.093 0. 0.093 0.066 0. 0.066 0.181 0. 0.181 0.001 0. 0.001 0.091 0. 0.091 0.001 0. 0.001
98 0.272 0. 0.272 0.167 0.003 0.163 0.095 0. 0.095 0.069 0. 0.069 0.175 0. 0.175 0.001 0. 0.001 0.095 0.003 0.091 0.001 0. 0.001
